,Receipt No.,Date,Time,Agent Till,Agent Name,Paid In
0,SLF6M02OPS,2024-12-15,21:32:48,779076,SEMIGRAN COMM ENTS,100.0
1,SLE4HUFJ9E,2024-12-14,20:58:42,779076,SEMIGRAN COMM ENTS,600.0
2,SLE4H56ORA,2024-12-14,19:01:52,135809,Daviski Co Chekwa,50.0
3,SLD7C1YS2P,2024-12-13,16:30:05,135809,Daviski Co Chekwa,300.0
4,SLB61XYQOI,2024-12-11,10:24:36,779076,SEMIGRAN COMM ENTS,205.0
5,SL93V2Y0UV,2024-12-09,20:41:28,779076,SEMIGRAN COMM ENTS,150.0
6,SL495NE4XZ,2024-12-04,09:14:21,779076,SEMIGRAN COMM ENTS,800.0
7,SL3918IFPH,2024-12-03,09:21:17,779076,SEMIGRAN COMM ENTS,500.0
8,SKQ87OPSTK,2024-11-26,17:10:49,135809,Daviski Co Chekwa,70.0
9,SKQ46DFNJ8,2024-11-26,11:50:22,779076,SEMIGRAN COMM ENTS,300.0
10,SKP93NJR5H,2024-11-25,17:44:17,135809,Daviski Co Chekwa,200.0
11,SKN2VET8SW,2024-11-23,19:52:03,2049164,EUNITE PRIDE K LTD,150.0
12,SKM5R6CJKB,2024-11-22,20:00:12,779076,SEMIGRAN COMM ENTS,100.0
13,SKI9AVZWAB,2024-11-18,21:13:14,779076,SEMIGRAN COMM ENTS,100.0
14,SKE1TFYMT7,2024-11-14,21:12:29,2049164,EUNITE PRIDE K LTD,100.0
15,SKD5P5SCYB,2024-11-13,20:49:53,135809,Daviski Co Chekwa,160.0
16,SKD8N6FZMC,2024-11-13,14:04:13,135809,Daviski Co Chekwa,400.0
17,SKB3GVT5DT,2024-11-11,21:00:40,135809,Daviski Co Chekwa,50.0
18,SKB6FU3E04,2024-11-11,17:59:28,135809,Daviski Co Chekwa,100.0
19,SK958R7SK5,2024-11-09,21:09:48,135809,Daviski Co Chekwa,310.0
20,SK945UBQ2U,2024-11-09,11:08:21,779076,SEMIGRAN COMM ENTS,1000.0
21,SK116RU8EV,2024-11-01,13:23:33,135809,Daviski Co Chekwa,50.0
22,SJT5UUSZR5,2024-10-29,20:14:31,173422,Purona Services,100.0
23,SJS1QXW2RB,2024-10-28,21:09:05,135809,Daviski Co Chekwa,100.0
24,SJP8E3C5ZY,2024-10-25,20:07:23,135809,Daviski Co Chekwa,90.0
25,SJP9DZEV8N,2024-10-25,19:48:43,235459,Wapcom Limited Angie,350.0
26,SJJ1MIG5WX,2024-10-19,12:29:56,173422,Purona Services,50.0
27,SJI7I07OTT,2024-10-18,10:58:34,135809,Daviski Co Chekwa,100.0
28,SJC2VP7036,2024-10-12,21:53:04,495479,Brigidi Holdings Ltd,210.0
29,SJC3U2O0W5,2024-10-12,16:37:52,135809,Daviski Co Chekwa,220.0
30,SJB5Q23GBH,2024-10-11,17:08:58,779076,SEMIGRAN COMM ENTS,100.0
31,SJA9MX5PJZ,2024-10-10,20:02:32,374133,Bayt construction,435.0
32,SJ95IVCUZT,2024-10-09,20:07:39,374133,Bayt construction,160.0
33,SJ84EQPN7E,2024-10-08,20:05:58,374133,Bayt construction,100.0
34,SJ79AQT0EF,2024-10-07,20:25:13,779076,SEMIGRAN COMM ENTS,200.0
35,SJ625XDXW6,2024-10-06,18:27:00,636258,PHONELAND,700.0
36,SJ34SIIKDC,2024-10-03,19:43:24,135809,Daviski Co Chekwa,80.0
37,SJ28O1QQ38,2024-10-02,19:11:57,374133,Bayt construction,50.0
38,SIP6T0M25S,2024-09-25,15:19:39,235459,Wapcom Limited Angie,205.0
39,SIL6EZ9558,2024-09-21,20:25:28,135809,Daviski Co Chekwa,230.0
40,SIK98IIXD9,2024-09-20,11:27:07,374133,Bayt construction,50.0
41,SIH9Y1Q2P1,2024-09-17,20:55:05,374133,Bayt construction,280.0
42,SID0I26URM,2024-09-13,21:06:56,299613,Prestige Tea Buying Co,100.0
43,SIC8DV4DG6,2024-09-12,20:39:27,779066,Semigran Comm Ents,610.0
44,SE80MJWDG8,2024-05-08,19:38:58,2164063,TOP GEAR COMM LTD,100.0
45,SBB6SLX9O6,2024-02-11,20:09:04,061801,Biston Emporium sami,100.0
